Frequency,RinV
1018,0.00195314
1018,0.000579838
1018,0.000152589
1018,9.15532e-05
1018,9.15532e-05
1018,9.15532e-05
1018,6.10356e-05
1018,0.000122071
1018,0.000122071
1018,0.000122071
1018,9.15532e-05
1018,0.000122071
1018,6.10356e-05
1018,9.15532e-05
1018,6.10356e-05
1018,9.15532e-05
1018,9.15532e-05
1018,0.000122071
1018,6.10356e-05
1018,6.10356e-05
1018,6.10356e-05
1018,9.15532e-05
1018,6.10356e-05
1018,3.05178e-05
1018,3.05178e-05
1018,3.05178e-05
1018,6.10356e-05
1018,6.10356e-05
1018,9.15532e-05
1018,6.10356e-05
1018,9.15532e-05
1018,0.000213624
1018,3.05178e-05
1018,9.15532e-05
1018,9.15532e-05
1018,0.000122071
1018,6.10356e-05
1018,6.10356e-05
1018,9.15532e-05
1018,9.15532e-05
1018,6.10356e-05
1018,6.10356e-05
1018,9.15532e-05
1018,0.000183106
1018,0.000122071
1018,9.15532e-05
1018,0.000122071
1018,6.10356e-05
1018,6.10356e-05
1018,6.10356e-05
1018,9.15532e-05
1018,9.15532e-05
1018,9.15532e-05
1018,6.10356e-05
1018,6.10356e-05
1018,6.10356e-05
1018,0.000122071
1018,0.000122071
1018,0.000213624
1018,6.10356e-05
1018,9.15532e-05
1018,9.15532e-05
1018,9.15532e-05
1018,0.000183106
1018,6.10356e-05
1018,0.000152589
1018,9.15532e-05
1018,0.000183106
1018,6.10356e-05
1018,9.15532e-05
1018,0.000122071
1018,3.05178e-05
1018,9.15532e-05
1018,0.000122071
1018,0.000183106
1018,0.0
1018,0.0
1018,0.000122071
1018,6.10356e-05
1018,3.05178e-05
1018,9.15532e-05
1018,0.000122071
1018,0.000122071
1018,9.15532e-05
1018,9.15532e-05
1018,0.000213624
1018,6.10356e-05
1018,9.15532e-05
1018,6.10356e-05
1018,9.15532e-05
1018,9.15532e-05
1018,0.000122071
1018,3.05178e-05
1018,6.10356e-05
1018,0.0
1018,0.000122071
1018,9.15532e-05
1018,0.000183106
1018,3.05178e-05
1018,3.05178e-05
1018,0.000122071
1018,3.05178e-05
1018,9.15532e-05
1018,6.10356e-05
1018,0.000122071
1018,9.15532e-05
1018,6.10356e-05
1018,0.0
1018,0.000122071
1018,3.05178e-05
1018,3.05178e-05
1018,3.05178e-05
1018,6.10356e-05
1018,6.10356e-05
1018,9.15532e-05
1018,3.05178e-05
1018,6.10356e-05
1018,9.15532e-05
1018,6.10356e-05
1018,9.15532e-05
1018,0.000122071
1018,6.10356e-05
1018,6.10356e-05
1018,3.05178e-05
1018,0.000183106
1018,6.10356e-05
1018,6.10356e-05
1018,9.15532e-05
1018,0.0
1018,0.000122071
1018,9.15532e-05
1018,6.10356e-05
1018,3.05178e-05
1018,6.10356e-05
1018,0.000152589
1018,0.000122071
1018,0.000122071
1018,0.000122071
1018,0.0
1018,0.000244142
1018,6.10356e-05
1018,3.05178e-05
1018,6.10356e-05
1018,3.05178e-05
1018,0.000122071
1018,9.15532e-05
1018,9.15532e-05
1018,6.10356e-05
1018,3.05178e-05
1018,3.05178e-05
1018,0.000183106
1018,6.10356e-05
1018,0.000122071
1018,0.0
1018,0.000152589
1018,6.10356e-05
1018,6.10356e-05
1018,3.05178e-05
1018,9.15532e-05
1018,6.10356e-05
1018,0.000152589
1018,0.000122071
1018,6.10356e-05
1018,0.000122071
1018,6.10356e-05
1018,9.15532e-05
1018,6.10356e-05
1018,3.05178e-05
1018,6.10356e-05
1018,0.000122071
1018,6.10356e-05
1018,9.15532e-05
1018,6.10356e-05
1018,3.05178e-05
1018,3.05178e-05
1018,6.10356e-05
1018,6.10356e-05
1018,3.05178e-05
1018,6.10356e-05
1018,6.10356e-05
1018,0.0
1018,0.000122071
1018,6.10356e-05
1018,6.10356e-05
1018,6.10356e-05
1018,3.05178e-05
1018,0.000152589
1018,0.000122071
1018,9.15532e-05
1018,6.10356e-05
1018,9.15532e-05
1018,3.05178e-05
1018,3.05178e-05
1018,0.000122071
1018,9.15532e-05
1018,6.10356e-05
1018,9.15532e-05
1018,0.000122071
1018,6.10356e-05
1018,0.0
1068,0.00100709
1068,0.00027466
1068,6.10356e-05
1068,9.15532e-05
1068,0.000213624
1068,9.15532e-05
1068,9.15532e-05
1068,0.000122071
1068,6.10356e-05
1068,0.0
1068,6.10356e-05
1068,6.10356e-05
1068,6.10356e-05
1068,0.000122071
1068,0.000152589
1068,0.000183106
1068,0.000183106
1068,9.15532e-05
1068,3.05178e-05
1068,3.05178e-05
1068,0.000122071
1068,0.000122071
1068,0.000152589
1068,9.15532e-05
1068,0.000152589
1068,6.10356e-05
1068,0.000122071
